id,artwork_id,engraving_id
10322,325,16
10323,325,17
24625,326,2
24626,326,6
24627,326,8
24628,326,9
24629,326,10
24630,326,11
24631,326,12
24632,326,14
24633,326,15
24634,326,17
50636,328,8
50637,328,15
50638,328,14
50639,328,2
50640,328,19
50641,328,13
71543,329,8
71544,329,15
71545,329,14
71546,329,2
71547,329,19
48318,330,2
48319,330,8
48320,330,9
48321,330,11
48322,330,14
48323,330,17
51642,331,7
51643,331,8
51644,331,9
51645,331,15
51646,331,14
51647,331,2
51648,331,17
51649,331,13
52243,332,8
52244,332,9
52245,332,6
52246,332,15
52247,332,14
52248,332,2
52249,332,17
52250,332,13
52251,332,12
53927,333,9
53928,333,6
53929,333,16
53930,333,14
53931,333,2
53932,333,10
53933,333,17
53934,333,12
79967,337,7
79968,337,6
79969,337,15
79970,337,14
79971,337,2
79972,337,11
79973,337,10
79974,337,19
79975,337,12
57745,338,8
57746,338,15
57747,338,4
57748,338,3
57749,338,19
57750,338,13
93101,339,7
93102,339,15
93103,339,5
93104,339,3
93105,339,19
93106,339,13
13794,340,2
13795,340,5
13796,340,7
13797,340,8
13798,340,11
13799,340,12
13800,340,15
13801,340,19
85081,341,8
85082,341,9
85083,341,6
85084,341,16
85085,341,14
85086,341,2
85087,341,3
85088,341,17
66268,342,8
66269,342,15
66270,342,14
66271,342,2
66272,342,19
82533,343,7
82534,343,6
82535,343,15
82536,343,14
82537,343,2
82538,343,11
82539,343,19
82540,343,12
42231,345,3
42232,345,5
42233,345,8
42234,345,15
39617,346,3
39618,346,4
39619,346,8
39620,346,16
39621,346,19
84447,347,8
84448,347,15
84449,347,5
84450,347,3
84451,347,19
81083,348,8
81084,348,9
81085,348,15
81086,348,4
81087,348,3
81088,348,17
79976,349,8
79977,349,9
79978,349,15
79979,349,4
79980,349,11
79981,349,10
79982,349,3
79983,349,17
79062,350,8
79063,350,9
79064,350,15
79065,350,4
79066,350,10
79067,350,3
79068,350,17
85296,357,8
85297,357,15
85298,357,5
85299,357,3
85300,357,19
74242,358,8
74243,358,15
74244,358,4
74245,358,10
74246,358,3
74247,358,19
42240,361,3
42241,361,5
42242,361,8
42243,361,15
18888,362,3
18889,362,5
18890,362,8
18891,362,16
18892,362,19
54295,363,8
54296,363,15
54297,363,4
54298,363,3
54299,363,19
33322,364,2
33323,364,4
33324,364,8
33325,364,12
33326,364,16
33327,364,19
39622,366,3
39623,366,4
39624,366,8
39625,366,19
46943,367,2
46944,367,4
46945,367,6
46946,367,8
46947,367,10
46948,367,15
46949,367,19
41885,368,2
41886,368,4
41887,368,5
41888,368,6
41889,368,8
41890,368,11
41891,368,15
41892,368,17
42118,369,2
42119,369,4
42120,369,5
42121,369,6
42122,369,8
42123,369,10
42124,369,11
42125,369,12
42126,369,15
42127,369,19
42133,370,2
42134,370,4
42135,370,5
42136,370,6
42137,370,8
42138,370,11
42139,370,12
42140,370,15
