id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
1066,,Manuel de Jesús Pinto,,,,,,,,,,,,,Capilla de la Casa-Hacienda San Cristóbal (Acomayo),,,,,,,,,,
1067,,Francis Cotes,,,,,,,,,,,,,Colección de Charles Tremoulet (Estados Unidos),,,,,,,,,,
1068,,Henry Jacob Burch,,,,,,,,,,,,,Casa de la Calle Arones (Cuzco),,,,,,,,,,
1069,,John Brewster,,,,,,,,,,,,,Iglesia Nuestra Señora de la Asunción (Azángaro),,,,,,,,,,
1070,,John Coles,,,,,,,,,,,,,"Joslyn Art Museum (Omaha, NE)",,,,,,,,,,
1071,,Charlotte-Marguerite de Bourbon,,,,,,,,,,,,,Iglesia y convento santa Clara (Ayacucho),,,,,,,,,,
1072,,B. Silani Sillberg,,,,,,,,,,,,,Colección Memoria Prado - MALI (Lima),,,,,,,,,,
1073,Padre Eterno,,,,,,,,,,,,,,"Colección Lavalle (Lima, Perú)",,,,,,,,,,
1074,,,,,,,,,,,,,,,Colección C. Larco (Perú),,,,,,,,,,
1075,,Juan Antonio Arriaga,,,,,,,,,,,,,Iglesia san Pedro Apóstol (Urubamba),,,,,,,,,,
1076,,,,,,,,,,,,,,,"Colección Adrianzén (Lima, Perú)",,,,,,,,,,
1077,,,,,,,,,,,,,,,Iglesia de Yanaoca (Perú),,,,,,,,,,
1078,,,,,,,,,,,,,,,Colección de Carl & Marilynn Thoma (Estados Unidos),,,,,,,,,,
1079,"Coleta, santa",,,,,,,,,,,,,,Seminario San Antonio Abad (Cuzco),,,,,,,,,,
1080,"Leocadia, Santa ",,,,,,,,,,,,,,"Iglesia Virgen Inmaculada (Checacupe, Perú)",,,,,,,,,,
1081,,,,,,,,,,,,,,,The Historic (Nueva Orleans),,,,,,,,,,
1082,Sara Monacha,Pedro Tello,,,,,,,,,,,,,"Galería Mario Hamilton (Winters (Ca), Estados Unidos)",,,,,,,,,,
1083,Pelagia de Antioquia,,,,,,,,,,,,,,Louisiana State Museum,,,,,,,,,,
1084,,Francisco Pacheco,,,,,,,,,,,,,Nunciatura apostólica del Perú (Lima),,,,,,,,,,
1085,Verónica de Juleanis,,,,,,,,,,,,,,Colección de Dr. Martin D. Claiborne III,,,,,,,,,,
1086,,,,,,,,,,,,,,,Iglesia san Miguel Coatlinchan (Texcoco),,,,,,,,,,
1087,"Liduvina, santa",,,,,,,,,,,,,,Salem Marine Society (Salem),,,,,,,,,,
1088,"Juliana de Cornillón, Santa ",Carolus Quesada,,,,,,,,,,,,,Iglesia y convento de santa Teresa (Buenos Aires),,,,,,,,,,
1089,"Viridiana, Santa ",,,,,,,,,,,,,,Archdiocese of New Orleans (Nueva Orleans),,,,,,,,,,
1090,,,,,,,,,,,,,,,Colección de Gustave Pitot (Estados Unidos),,,,,,,,,,
1091,"Escolastica, Santa ",Miguel          Po...,,,,,,,,,,,,,The Germantown Historical Society Collection (Filadelfia),,,,,,,,,,
1092,,José María Agudelo,,,,,,,,,,,,,"Museo Nacional Estancia Jesuítica de Alta Gracia (Casa del Virrey Liniers, Argentina)",,,,,,,,,,
1093,"Columba Rieti, Santa ",José Santos Figueroa,,,,,,,,,,,,,Colección de Trentiss Christian Patrick (Estados Unidos),,,,,,,,,,
1094,"Bartolomea de Bagnesio, Beata ",,,,,,,,,,,,,,Colección de Roger Ogden (Estados Unidos),,,,,,,,,,
1095,"Margarita de Castelo, Beata ",,,,,,,,,,,,,,Holden Family Collection (Estados Unidos),,,,,,,,,,
1096,"Magdalena de Trino, Beata ",,,,,,,,,,,,,,Colección de Peter W. Pato (Estados Unidos),,,,,,,,,,
1097,"Juana de Orvieto, Beata ",,,,,,,,,,,,,,Collection of the St. Louis Mercantile Library University (Saint Louis),,,,,,,,,,
1098,"Vilana de Bottis, Beata ",Juan Aguayo,,,,,,,,,,,,,"Galería de Artes Coloniales (San Francisco, CA)",,,,,,,,,,
1099,,Manuel Santo,,,,,,,,,,,,,Iglesia san Francisco de Asís (Yavi),,,,,,,,,,
1100,"Benvenuta Boyani, Beata ",,,,,,,,,,,,,,Misión san Luis Rey de Francia (Oceanside),,,,,,,,,,
1101,"Ymelda Lambertini, Beata ",,,,,,,,,,,,,,Iglesia san Francisco Totimehuacán (Puebla),,,,,,,,,,
1102,"Juana princesa de Portugal, Beata ",,,,,,,,,,,,,,Iglesia san Francisco de Asís (san Luis Potosí),,,,,,,,,,
1103,"Mariana de Jesús, santa", Oviedo,,,,,,,,,,,,,Iglesia de Santiago Apóstol (Ayapango),,,,,,,,,,
1104,"Eduviges, santa ",,,,,,,,,,,,,,"Iglesia San Pedro de Alcántara (Cabanaconde, Perú)",,,,,,,,,,
1105,,Samuel  Jordan,,,,,,,,,,,,,Iglesia san Miguelito (San Andrés Cholula),,,,,,,,,,
1106,,,,,,,,,,,,,,,Colección de William Dunbar Dicks (Estados Unidos),,,,,,,,,,
1107,,Aaron Dean  Fletcher,,,,,,,,,,,,,"Colección Gustavo Adolfo Marrupe (Salta, Argentina)",,,,,,,,,,
1108,"Ifigenia de Etiopía, Santa ",Ruth  Whittier,,,,,,,,,,,,,Catedral Nuestra Señora de la Candelaria y san Antonio (Humahuaca),,,,,,,,,,
1109,,Rufus Hathaway,,,,,,,,,,,,,Museo Municipal de Guayaquil (Guayaquil),,,,,,,,,,
1110,,Thomas Coram,,,,,,,,,,,,,Iglesia santa María de Ozumbilla (Tecámac de Felipe Villanueva),,,,,,,,,,
1111,"Margarita de Hungría, Santa ",John  Varley,,,,,,,,,,,,,Iglesia Santa María de los Dolores (Tegucigalpa),,,,,,,,,,
1112,,,,,,,,,,,,,,,Catedral de San Miguel Arcángel (Tegucigalpa) ,,,,,,,,,,
1113,,,,,,,,,,,,,,,Capilla de los Dolores (San Pedro Cholula),,,,,,,,,,
1114,,,,,,,,,,,,,,,Iglesia de Chuquinga (Chuquinga),,,,,,,,,,
1115,"Francisca Romana, santa",Edwin Plummer,,,,,,,,,,,,,Iglesia y convento de la Santisima Trinidad (Lima),,,,,,,,,,
1116,,J. Brown,,,,,,,,,,,,,"Colección Hayes (Essex, Inglaterra)",,,,,,,,,,
1117,"Máxima, Santa ",J. Bradley,,,,,,,,,,,,,Museo Histórico de Buenos Aires Cornelio Saavedra (Buenos Aires),,,,,,,,,,
1118,,,,,,,,,,,,,,,"Igreja e santa Casa de Misericordia da Bahía (Salvador, Bahía)",,,,,,,,,,
1119,"Cunegunda Reina, Santa ",Ira Chaffe Goodell,,,,,,,,,,,,,"Colección José dos Santos (Recife, Brasil)",,,,,,,,,,
1120,,Joseph H. Davis,,,,,,,,,,,,,"Iglesia santa Bárbara (Sora, Boyacá)",,,,,,,,,,
1121,"Elena, santa",Joseph Whiting,,,,,,,,,,,,,Igreja Nossa Senhora do Carmo (Itu),,,,,,,,,,
1122,,Justus Dalee,,,,,,,,,,,,,Iglesia santa Maria Magdalena (Ayacucho),,,,,,,,,,
1123,,Micah  Williams,,,,,,,,,,,,,Concatedral São Pedro dos Clérigos (Recife),,,,,,,,,,
